firm,Count,Median_μs,Mean_μs,P10_μs,P90_μs
Wedbush Securities,4242746,96307.79,344754.32,8768.38,671897.39
Wolverine Trading,4160956,95928.52,365556.21,8726.66,682384.17
JP Morgan Securities,3319942,97256.79,390159.28,8736.6,724039.13
IMC,234118,4508845.16,4666265.41,828113.67,8839546.57
UBS Securities,90674,3511576.28,4058956.36,496325.85,8597211.25
Electronic Trading & MM,65510,4693639.64,4765699.81,859261.9,8849884.76
Flow Traders,31796,4586523.1,4688512.32,844279.88,8758207.44
Goldman Sachs,31477,4974707.51,4949685.28,929925.43,9024303.37
Susquehanna (SIG),27367,4527036.68,4725812.47,944796.2,8878422.84
Citadel Securities,11893,4746870.96,4875253.03,855304.16,9056373.94
XGW Capital,9291,4699073.7,4809972.45,726168.52,9186783.96
Virtu Financial,9032,5324479.48,5180658.17,1015462.97,9069889.89
GTS,1167,4956942.46,4915687.09,876859.04,9089120.36
Morgan Stanley,1151,5006519.19,5204852.99,931494.45,9525339.96
SEBR,1026,5414905.8,5584704.08,1769342.07,9399261.98
TSSM,889,3313698.24,3780776.36,619754.62,8211833.98
WBSI,837,4107945.29,4218956.4,1341431.98,8572196.36
Bank of America Merrill Lynch,757,4636806.68,4674912.94,656182.88,8925969.91
BTBS,687,5294062.97,5196656.13,950582.47,9360328.4
Leerink,653,5078908.44,4688439.61,420251.55,8730988.55
SSUS,652,3710153.99,3870256.1,503174.82,7972257.94
NEED,645,6444748.11,5583585.68,863749.73,8839129.38
SOHO,641,5364727.11,5215271.16,1077764.92,8933537.76
D.A. Davidson,508,4144428.0,4821608.22,1310181.05,9158756.84
VERT,479,5131047.43,5219362.84,1337142.69,8882309.97
WBLR,445,3767176.95,4710280.94,1125984.61,9227545.88
Instinet,445,3814731.77,4624523.43,692196.62,9046488.66
ADAM,436,3753828.3,4617157.97,718573.59,9227540.52
Maxim Group,425,3901175.61,4773375.43,1211742.94,9253028.5
RHCO,420,4555235.51,4898309.95,999238.55,9355314.03
Cantor Fitzgerald,415,3814731.77,4667443.4,591359.77,9355314.12
Cowen,414,3986956.92,4810008.22,598365.45,9369298.14
Robert W. Baird,412,3966089.05,4826417.57,1138643.8,9346795.86
RBCM,409,3814731.77,4602727.9,520980.74,9268735.44
RAJA,399,4682913.4,4925982.44,1351313.75,8729974.35
Lehman Brothers (Legacy),382,2735792.32,3621276.95,336562.55,7452148.64
Jump Trading,378,3817495.87,4666184.91,941847.15,9355314.06
STFL,378,3274052.76,4409236.63,477455.9,8598956.12
Susquehanna,317,5371563.99,5197902.16,1092853.21,8621170.17
"Keefe, Bruyette & Woods",313,5503288.82,5080232.67,1201522.54,9447991.35
SPHN,309,7104014.98,5991704.48,1126621.63,9629690.79
King & Associates,303,5300375.53,5750262.23,1633397.36,9531607.42
Hudson River Trading,216,4093043.1,4204262.7,415752.26,8664891.32
KBWI,188,2859868.13,3945474.51,688153.82,7644844.89
SUFI,170,3518880.6,3974728.39,544977.83,8280771.81
Credit Suisse (Legacy),115,3907099.9,4946232.4,383528.55,8369708.36
RILY,108,6310831.66,5803431.34,1496324.45,9771778.69
B. Riley,50,5472118.92,5206167.16,656252.7,9849609.88
Chalmers (Legacy),28,5685697.86,5505125.94,2132164.28,9737369.58
