symbol,mpid,firm_name,add_count,cancel_count,execute_count,trade_count,total_shares_added,total_shares_executed,total_shares_traded,first_seen_timestamp,last_seen_timestamp,add_to_execute_count,add_to_execute_avg_ns,add_to_execute_min_ns,add_to_execute_max_ns,add_to_cancel_count,add_to_cancel_avg_ns,add_to_cancel_min_ns,add_to_cancel_max_ns,reaction_to_trade_count,reaction_to_trade_avg_ns,reaction_to_trade_min_ns,reaction_to_trade_max_ns,reaction_to_execute_count,reaction_to_execute_avg_ns,reaction_to_execute_min_ns,reaction_to_execute_max_ns
EFA,UNKNOWN,,7624,7548,316,0,9226307,119824,0,56999999881608,57599951211223,316,18401173281,33870,439953878647,0,,,,6176,10643426534,10880,66700049146,6209,7444828269,457,42654742475
AMC,UNKNOWN,,713,656,47,0,558123,14819,0,56999999890074,57599992626004,47,81982593713,112943,385473893598,0,,,,626,7941990881,14003,110424033889,457,35785999525,1464,156792845702
EFZ,UNKNOWN,,73,58,0,0,38000,0,0,56999999941854,57599774362402,0,,,,0,,,,0,,,,0,,,
IEFA,UNKNOWN,,5710,5684,154,0,6405381,38024,0,56999999951648,57599962531076,154,22385734147,36928,305372563932,0,,,,4599,9186102535,6112,38680259127,5099,17860658788,403,102186007701
IEFA,UBSS,UBS Securities LLC,2,1,0,0,200,0,0,57006475884856,57072890437735,0,,,,0,,,,1,8578406967,8578406967,8578406967,2,19486065285,5762631743,33209498828
DAVE,UNKNOWN,,1156,800,201,0,104638,7761,0,56999999987181,57599993195269,201,22467693123,1048,184367810638,0,,,,1006,8551646672,25318,49174113115,946,11778108146,4369,115162922252
DAVE,GSCO,GOLDMAN SACHS & CO. LLC,1,0,0,0,600,0,0,57074755816357,57074755816357,0,,,,0,,,,1,48813249,48813249,48813249,1,48192075,48192075,48192075
DAVE,ETMM,"G1 Execution Services, LLC",2,0,0,0,200,0,0,57078008258483,57078009374875,0,,,,0,,,,2,1802894079,1802335883,1803452275,2,3301192397,3300634201,3301750593
DAVE,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57252049425150,57252049425150,0,,,,0,,,,1,29474138206,29474138206,29474138206,1,69701164564,69701164564,69701164564
DAVE,FLTG,FLOW TRADERS U.S. LLC,1,1,0,0,100,0,0,57336655383434,57599983408526,0,,,,0,,,,1,1927823738,1927823738,1927823738,1,2037779993,2037779993,2037779993
DAVE,SGAS,"SG Americas Securities, LLC",1,0,0,0,100,0,0,57336784332955,57336784332955,0,,,,0,,,,1,2056773259,2056773259,2056773259,1,2166729514,2166729514,2166729514
INFL,UNKNOWN,,590,576,8,0,235605,417,0,56999999988134,57599875386830,8,13753854901,213161,19734986148,0,,,,169,93258371209,27956,200797523869,173,222072176119,27956,475616751988
INFL,JPMS,J.P. Morgan Securities LLC,232,231,0,0,23200,0,0,57016241779165,57594235319026,0,,,,0,,,,0,,,,0,,,
LZ,UNKNOWN,,1530,1146,311,0,481229,34176,0,57000000069951,57599998300675,311,44488615984,995,579494494663,0,,,,1410,6098860217,618,58874641145,1397,14574053776,1368,106437756600
SOXS,UNKNOWN,,26450,26559,575,0,15930820,223532,0,57000000071047,57599995615105,575,11195348478,9001,317244462107,0,,,,23212,11001388192,3144,60869140692,24120,6174627801,514,40671430685
